sample_id;claim_id;question;answer;context_text;claim_text;seed_label;annotator_label;annotator_1_label;annotator_2_label;evidence_doc_id;evidence_start;evidence_end;evidence_text;notes
pt_br_machado_abstain_needed_000;pt_br_machado_abstain_needed_000_c1;Qual detalhe ausente o contexto informa sobre Machado de Assis?;Machado de Assis possui um detalhe ausente confirmado pelo contexto.;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Machado de Assis possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_minas_abstain_needed_007;pt_br_minas_abstain_needed_007_c1;Qual detalhe ausente o contexto informa sobre Minas Gerais?;Minas Gerais possui um detalhe ausente confirmado pelo contexto.;Minas Gerais e um estado da regiao Sudeste do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Minas Gerais possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_pantanal_abstain_needed_011;pt_br_pantanal_abstain_needed_011_c1;Qual detalhe ausente o contexto informa sobre O Pantanal?;O Pantanal possui um detalhe ausente confirmado pelo contexto.;O Pantanal e uma das maiores areas umidas do mundo. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Pantanal possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_portugues_abstain_needed_012;pt_br_portugues_abstain_needed_012_c1;Qual detalhe ausente o contexto informa sobre A lingua portuguesa?;A lingua portuguesa possui um detalhe ausente confirmado pelo contexto.;A lingua portuguesa e o idioma oficial do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A lingua portuguesa possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_republica_abstain_needed_014;pt_br_republica_abstain_needed_014_c1;Qual detalhe ausente o contexto informa sobre A Republica brasileira?;A Republica brasileira possui um detalhe ausente confirmado pelo contexto.;A Republica brasileira foi proclamada em 1889. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Republica brasileira possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_rio_abstain_needed_008;pt_br_rio_abstain_needed_008_c1;Qual detalhe ausente o contexto informa sobre A cidade do Rio de Janeiro?;A cidade do Rio de Janeiro possui um detalhe ausente confirmado pelo contexto.;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A cidade do Rio de Janeiro possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_samba_abstain_needed_017;pt_br_samba_abstain_needed_017_c1;Qual detalhe ausente o contexto informa sobre O samba?;O samba possui um detalhe ausente confirmado pelo contexto.;O samba e uma expressao cultural associada ao Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O samba possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_santos_dumont_abstain_needed_009;pt_br_santos_dumont_abstain_needed_009_c1;Qual detalhe ausente o contexto informa sobre Santos Dumont?;Santos Dumont possui um detalhe ausente confirmado pelo contexto.;Santos Dumont e associado a historia da aviacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Santos Dumont possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_tse_abstain_needed_018;pt_br_tse_abstain_needed_018_c1;Qual detalhe ausente o contexto informa sobre O Tribunal Superior Eleitoral?;O Tribunal Superior Eleitoral possui um detalhe ausente confirmado pelo contexto.;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Tribunal Superior Eleitoral possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_usp_abstain_needed_019;pt_br_usp_abstain_needed_019_c1;Qual detalhe ausente o contexto informa sobre A Universidade de Sao Paulo?;A Universidade de Sao Paulo possui um detalhe ausente confirmado pelo contexto.;A Universidade de Sao Paulo e uma universidade publica brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Universidade de Sao Paulo possui um detalhe ausente confirmado pelo contexto;unsupported;;unsupported;unsupported;;;;;
pt_br_abl_contradicted_004;pt_br_abl_contradicted_004_c1;O que o contexto informa sobre A Academia Brasileira de Letras?;A Academia Brasileira de Letras foi criada em Lisboa.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Academia Brasileira de Letras foi criada em Lisboa;contradicted;;unsupported;Contradicted;pt_br_abl_ctx;0;79;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis;
pt_br_amazonas_contradicted_002;pt_br_amazonas_contradicted_002_c1;O que o contexto informa sobre O Rio Amazonas?;O Rio Amazonas desagua no Oceano Pacifico.;O Rio Amazonas atravessa a regiao norte do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Rio Amazonas desagua no Oceano Pacifico;contradicted;;unsupported;unsupported;pt_br_amazonas_ctx;0;49;O Rio Amazonas atravessa a regiao norte do Brasil;
pt_br_amazonia_contradicted_015;pt_br_amazonia_contradicted_015_c1;O que o contexto informa sobre A Amazonia?;A Amazonia e composta apenas por gelo.;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Amazonia e composta apenas por gelo;contradicted;;contradicted;unsupported;pt_br_amazonia_ctx;0;55;A Amazonia abrange uma grande area de floresta tropical;
pt_br_brasilia_contradicted_001;pt_br_brasilia_contradicted_001_c1;O que o contexto informa sobre Brasilia?;Brasilia foi inaugurada em 1889.;Brasilia foi inaugurada como capital do Brasil em 1960. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Brasilia foi inaugurada em 1889;contradicted;;contradicted;Contradicted;pt_br_brasilia_ctx;0;54;Brasilia foi inaugurada como capital do Brasil em 1960;
pt_br_cafe_contradicted_010;pt_br_cafe_contradicted_010_c1;O que o contexto informa sobre O cafe?;O cafe foi proibido no Brasil em 1822.;O cafe foi um produto importante na economia brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O cafe foi proibido no Brasil em 1822;contradicted;;unsupported;Contradicted;pt_br_cafe_ctx;0;55;O cafe foi um produto importante na economia brasileira;
pt_br_capoeira_contradicted_016;pt_br_capoeira_contradicted_016_c1;O que o contexto informa sobre A capoeira?;A capoeira e uma linguagem de programacao.;A capoeira combina elementos de luta, jogo e musica. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A capoeira e uma linguagem de programacao;contradicted;;unsupported;Contradicted;pt_br_capoeira_ctx;0;51;A capoeira combina elementos de luta, jogo e musica;
pt_br_constitucao_contradicted_005;pt_br_constitucao_contradicted_005_c1;O que o contexto informa sobre A Constituicao de 1988?;A Constituicao de 1988 foi promulgada em 1964.;A Constituicao de 1988 e conhecida como Constituicao Cidada. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Constituicao de 1988 foi promulgada em 1964;contradicted;;contradicted;Contradicted;pt_br_constitucao_ctx;0;59;A Constituicao de 1988 e conhecida como Constituicao Cidada;
pt_br_dom_casmurro_contradicted_003;pt_br_dom_casmurro_contradicted_003_c1;O que o contexto informa sobre Dom Casmurro?;Dom Casmurro foi escrito por Jose de Alencar.;Dom Casmurro e um romance de Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Dom Casmurro foi escrito por Jose de Alencar;contradicted;;contradicted;Contradicted;pt_br_dom_casmurro_ctx;0;45;Dom Casmurro e um romance de Machado de Assis;
pt_br_ibge_contradicted_006;pt_br_ibge_contradicted_006_c1;O que o contexto informa sobre O IBGE?;O IBGE e uma universidade privada.;O IBGE produz estatisticas oficiais sobre a populacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O IBGE e uma universidade privada;contradicted;;unsupported;Contradicted;pt_br_ibge_ctx;0;64;O IBGE produz estatisticas oficiais sobre a populacao brasileira;
pt_br_independencia_contradicted_013;pt_br_independencia_contradicted_013_c1;O que o contexto informa sobre A independencia do Brasil?;A independencia do Brasil foi proclamada em 1500.;A independencia do Brasil foi proclamada em 1822. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A independencia do Brasil foi proclamada em 1500;contradicted;;contradicted;Contradicted;pt_br_independencia_ctx;0;48;A independencia do Brasil foi proclamada em 1822;
pt_br_machado_contradicted_000;pt_br_machado_contradicted_000_c1;O que o contexto informa sobre Machado de Assis?;Machado de Assis fundou a NASA em 1958.;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Machado de Assis fundou a NASA em 1958;contradicted;;unsupported;unsupported;pt_br_machado_ctx;0;75;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras;
pt_br_minas_contradicted_007;pt_br_minas_contradicted_007_c1;O que o contexto informa sobre Minas Gerais?;Minas Gerais fica na regiao Norte.;Minas Gerais e um estado da regiao Sudeste do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Minas Gerais fica na regiao Norte;contradicted;;contradicted;Contradicted;pt_br_minas_ctx;0;52;Minas Gerais e um estado da regiao Sudeste do Brasil;
pt_br_pantanal_contradicted_011;pt_br_pantanal_contradicted_011_c1;O que o contexto informa sobre O Pantanal?;O Pantanal e um deserto polar.;O Pantanal e uma das maiores areas umidas do mundo. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Pantanal e um deserto polar;contradicted;;contradicted;Contradicted;pt_br_pantanal_ctx;0;50;O Pantanal e uma das maiores areas umidas do mundo;
pt_br_portugues_contradicted_012;pt_br_portugues_contradicted_012_c1;O que o contexto informa sobre A lingua portuguesa?;A lingua portuguesa foi substituida pelo latim no Brasil.;A lingua portuguesa e o idioma oficial do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A lingua portuguesa foi substituida pelo latim no Brasil;contradicted;;contradicted;Contradicted;pt_br_portugues_ctx;0;48;A lingua portuguesa e o idioma oficial do Brasil;
pt_br_republica_contradicted_014;pt_br_republica_contradicted_014_c1;O que o contexto informa sobre A Republica brasileira?;A Republica brasileira foi proclamada em 1960.;A Republica brasileira foi proclamada em 1889. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Republica brasileira foi proclamada em 1960;contradicted;;contradicted;Contradicted;pt_br_republica_ctx;0;45;A Republica brasileira foi proclamada em 1889;
pt_br_rio_contradicted_008;pt_br_rio_contradicted_008_c1;O que o contexto informa sobre A cidade do Rio de Janeiro?;A cidade do Rio de Janeiro nunca foi capital do Brasil.;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A cidade do Rio de Janeiro nunca foi capital do Brasil;contradicted;;contradicted;Contradicted;pt_br_rio_ctx;0;66;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia;
pt_br_samba_contradicted_017;pt_br_samba_contradicted_017_c1;O que o contexto informa sobre O samba?;O samba e uma moeda oficial europeia.;O samba e uma expressao cultural associada ao Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O samba e uma moeda oficial europeia;contradicted;;contradicted;Contradicted;pt_br_samba_ctx;0;52;O samba e uma expressao cultural associada ao Brasil;
pt_br_santos_dumont_contradicted_009;pt_br_santos_dumont_contradicted_009_c1;O que o contexto informa sobre Santos Dumont?;Santos Dumont foi imperador do Brasil.;Santos Dumont e associado a historia da aviacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Santos Dumont foi imperador do Brasil;contradicted;;unsupported;Contradicted;pt_br_santos_dumont_ctx;0;58;Santos Dumont e associado a historia da aviacao brasileira;
pt_br_tse_contradicted_018;pt_br_tse_contradicted_018_c1;O que o contexto informa sobre O Tribunal Superior Eleitoral?;O Tribunal Superior Eleitoral administra aeroportos.;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Tribunal Superior Eleitoral administra aeroportos;contradicted;;contradicted;Contradicted;pt_br_tse_ctx;0;69;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil;
pt_br_usp_contradicted_019;pt_br_usp_contradicted_019_c1;O que o contexto informa sobre A Universidade de Sao Paulo?;A Universidade de Sao Paulo e uma cadeia de montanhas.;A Universidade de Sao Paulo e uma universidade publica brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Universidade de Sao Paulo e uma cadeia de montanhas;contradicted;;contradicted;Contradicted;pt_br_usp_ctx;0;65;A Universidade de Sao Paulo e uma universidade publica brasileira;
pt_br_abl_fully_supported_004;pt_br_abl_fully_supported_004_c1;O que o contexto informa sobre A Academia Brasileira de Letras?;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis;supported;;supported;Supported;pt_br_abl_ctx;0;79;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis;
pt_br_amazonas_fully_supported_002;pt_br_amazonas_fully_supported_002_c1;O que o contexto informa sobre O Rio Amazonas?;O Rio Amazonas atravessa a regiao norte do Brasil.;O Rio Amazonas atravessa a regiao norte do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Rio Amazonas atravessa a regiao norte do Brasil;supported;;supported;Supported;pt_br_amazonas_ctx;0;49;O Rio Amazonas atravessa a regiao norte do Brasil;
pt_br_amazonia_fully_supported_015;pt_br_amazonia_fully_supported_015_c1;O que o contexto informa sobre A Amazonia?;A Amazonia abrange uma grande area de floresta tropical.;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Amazonia abrange uma grande area de floresta tropical;supported;;supported;Supported;pt_br_amazonia_ctx;0;55;A Amazonia abrange uma grande area de floresta tropical;
pt_br_brasilia_fully_supported_001;pt_br_brasilia_fully_supported_001_c1;O que o contexto informa sobre Brasilia?;Brasilia foi inaugurada como capital do Brasil em 1960.;Brasilia foi inaugurada como capital do Brasil em 1960. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Brasilia foi inaugurada como capital do Brasil em 1960;supported;;supported;Supported;pt_br_brasilia_ctx;0;54;Brasilia foi inaugurada como capital do Brasil em 1960;
pt_br_cafe_fully_supported_010;pt_br_cafe_fully_supported_010_c1;O que o contexto informa sobre O cafe?;O cafe foi um produto importante na economia brasileira.;O cafe foi um produto importante na economia brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O cafe foi um produto importante na economia brasileira;supported;;supported;Supported;pt_br_cafe_ctx;0;55;O cafe foi um produto importante na economia brasileira;
pt_br_capoeira_fully_supported_016;pt_br_capoeira_fully_supported_016_c1;O que o contexto informa sobre A capoeira?;A capoeira combina elementos de luta, jogo e musica.;A capoeira combina elementos de luta, jogo e musica. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A capoeira combina elementos de luta, jogo e musica;supported;;supported;Supported;pt_br_capoeira_ctx;0;51;A capoeira combina elementos de luta, jogo e musica;
pt_br_constitucao_fully_supported_005;pt_br_constitucao_fully_supported_005_c1;O que o contexto informa sobre A Constituicao de 1988?;A Constituicao de 1988 e conhecida como Constituicao Cidada.;A Constituicao de 1988 e conhecida como Constituicao Cidada. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Constituicao de 1988 e conhecida como Constituicao Cidada;supported;;supported;Supported;pt_br_constitucao_ctx;0;59;A Constituicao de 1988 e conhecida como Constituicao Cidada;
pt_br_dom_casmurro_fully_supported_003;pt_br_dom_casmurro_fully_supported_003_c1;O que o contexto informa sobre Dom Casmurro?;Dom Casmurro e um romance de Machado de Assis.;Dom Casmurro e um romance de Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Dom Casmurro e um romance de Machado de Assis;supported;;supported;Supported;pt_br_dom_casmurro_ctx;0;45;Dom Casmurro e um romance de Machado de Assis;
pt_br_ibge_fully_supported_006;pt_br_ibge_fully_supported_006_c1;O que o contexto informa sobre O IBGE?;O IBGE produz estatisticas oficiais sobre a populacao brasileira.;O IBGE produz estatisticas oficiais sobre a populacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O IBGE produz estatisticas oficiais sobre a populacao brasileira;supported;;supported;Supported;pt_br_ibge_ctx;0;64;O IBGE produz estatisticas oficiais sobre a populacao brasileira;
pt_br_independencia_fully_supported_013;pt_br_independencia_fully_supported_013_c1;O que o contexto informa sobre A independencia do Brasil?;A independencia do Brasil foi proclamada em 1822.;A independencia do Brasil foi proclamada em 1822. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A independencia do Brasil foi proclamada em 1822;supported;;supported;Supported;pt_br_independencia_ctx;0;48;A independencia do Brasil foi proclamada em 1822;
pt_br_machado_fully_supported_000;pt_br_machado_fully_supported_000_c1;O que o contexto informa sobre Machado de Assis?;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras.;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras;supported;;supported;Supported;pt_br_machado_ctx;0;75;Machado de Assis foi o primeiro presidente da Academia Brasileira de Letras;
pt_br_minas_fully_supported_007;pt_br_minas_fully_supported_007_c1;O que o contexto informa sobre Minas Gerais?;Minas Gerais e um estado da regiao Sudeste do Brasil.;Minas Gerais e um estado da regiao Sudeste do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Minas Gerais e um estado da regiao Sudeste do Brasil;supported;;supported;Supported;pt_br_minas_ctx;0;52;Minas Gerais e um estado da regiao Sudeste do Brasil;
pt_br_pantanal_fully_supported_011;pt_br_pantanal_fully_supported_011_c1;O que o contexto informa sobre O Pantanal?;O Pantanal e uma das maiores areas umidas do mundo.;O Pantanal e uma das maiores areas umidas do mundo. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Pantanal e uma das maiores areas umidas do mundo;supported;;supported;Supported;pt_br_pantanal_ctx;0;50;O Pantanal e uma das maiores areas umidas do mundo;
pt_br_portugues_fully_supported_012;pt_br_portugues_fully_supported_012_c1;O que o contexto informa sobre A lingua portuguesa?;A lingua portuguesa e o idioma oficial do Brasil.;A lingua portuguesa e o idioma oficial do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A lingua portuguesa e o idioma oficial do Brasil;supported;;supported;Supported;pt_br_portugues_ctx;0;48;A lingua portuguesa e o idioma oficial do Brasil;
pt_br_republica_fully_supported_014;pt_br_republica_fully_supported_014_c1;O que o contexto informa sobre A Republica brasileira?;A Republica brasileira foi proclamada em 1889.;A Republica brasileira foi proclamada em 1889. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Republica brasileira foi proclamada em 1889;supported;;supported;Supported;pt_br_republica_ctx;0;45;A Republica brasileira foi proclamada em 1889;
pt_br_rio_fully_supported_008;pt_br_rio_fully_supported_008_c1;O que o contexto informa sobre A cidade do Rio de Janeiro?;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia.;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia;supported;;supported;Supported;pt_br_rio_ctx;0;66;A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia;
pt_br_samba_fully_supported_017;pt_br_samba_fully_supported_017_c1;O que o contexto informa sobre O samba?;O samba e uma expressao cultural associada ao Brasil.;O samba e uma expressao cultural associada ao Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O samba e uma expressao cultural associada ao Brasil;supported;;supported;Supported;pt_br_samba_ctx;0;52;O samba e uma expressao cultural associada ao Brasil;
pt_br_santos_dumont_fully_supported_009;pt_br_santos_dumont_fully_supported_009_c1;O que o contexto informa sobre Santos Dumont?;Santos Dumont e associado a historia da aviacao brasileira.;Santos Dumont e associado a historia da aviacao brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;Santos Dumont e associado a historia da aviacao brasileira;supported;;supported;Supported;pt_br_santos_dumont_ctx;0;58;Santos Dumont e associado a historia da aviacao brasileira;
pt_br_tse_fully_supported_018;pt_br_tse_fully_supported_018_c1;O que o contexto informa sobre O Tribunal Superior Eleitoral?;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil.;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil;supported;;supported;Supported;pt_br_tse_ctx;0;69;O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil;
pt_br_usp_fully_supported_019;pt_br_usp_fully_supported_019_c1;O que o contexto informa sobre A Universidade de Sao Paulo?;A Universidade de Sao Paulo e uma universidade publica brasileira.;A Universidade de Sao Paulo e uma universidade publica brasileira. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Universidade de Sao Paulo e uma universidade publica brasileira;supported;;supported;Supported;pt_br_usp_ctx;0;65;A Universidade de Sao Paulo e uma universidade publica brasileira;
pt_br_abl_partially_unsupported_004;pt_br_abl_partially_unsupported_004_c1;O que o contexto informa sobre A Academia Brasileira de Letras?;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. A Academia Brasileira de Letras possui sede em Buenos Aires.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis;supported;;supported;Supported;pt_br_abl_ctx;0;79;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis;
pt_br_abl_partially_unsupported_004;pt_br_abl_partially_unsupported_004_c2;O que o contexto informa sobre A Academia Brasileira de Letras?;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. A Academia Brasileira de Letras possui sede em Buenos Aires.;A Academia Brasileira de Letras foi presidida inicialmente por Machado de Assis. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Academia Brasileira de Letras possui sede em Buenos Aires;unsupported;;unsupported;unsupported;;;;;
pt_br_amazonas_partially_unsupported_002;pt_br_amazonas_partially_unsupported_002_c1;O que o contexto informa sobre O Rio Amazonas?;O Rio Amazonas atravessa a regiao norte do Brasil. O Rio Amazonas tem exatamente 9.100 quilometros.;O Rio Amazonas atravessa a regiao norte do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Rio Amazonas atravessa a regiao norte do Brasil;supported;;supported;Supported;pt_br_amazonas_ctx;0;49;O Rio Amazonas atravessa a regiao norte do Brasil;
pt_br_amazonas_partially_unsupported_002;pt_br_amazonas_partially_unsupported_002_c2;O que o contexto informa sobre O Rio Amazonas?;O Rio Amazonas atravessa a regiao norte do Brasil. O Rio Amazonas tem exatamente 9.100 quilometros.;O Rio Amazonas atravessa a regiao norte do Brasil. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;O Rio Amazonas tem exatamente 9.100 quilometros;unsupported;;unsupported;unsupported;;;;;
pt_br_amazonia_partially_unsupported_015;pt_br_amazonia_partially_unsupported_015_c1;O que o contexto informa sobre A Amazonia?;A Amazonia abrange uma grande area de floresta tropical. A Amazonia fica somente no Rio Grande do Sul.;A Amazonia abrange uma grande area de floresta tropical. Este registro sintetico e usado apenas para avaliar suporte por evidencia.;A Amazonia abrange uma grande area de floresta tropical;supported;;supported;Supported;pt_br_amazonia_ctx;0;55;A Amazonia abrange uma grande area de floresta tropical;
