sample_id,claim_id,claim_text,seed_label,annotator_1_label,annotator_2_label,adjudicated_label,final_label,final_label_source,notes
pt_br_pantanal_partially_unsupported_011,pt_br_pantanal_partially_unsupported_011_c2,O Pantanal fica integralmente no Canada,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_portugues_abstain_needed_012,pt_br_portugues_abstain_needed_012_c1,A lingua portuguesa possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_portugues_contradicted_012,pt_br_portugues_contradicted_012_c1,A lingua portuguesa foi substituida pelo latim no Brasil,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_portugues_fully_supported_012,pt_br_portugues_fully_supported_012_c1,A lingua portuguesa e o idioma oficial do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_portugues_partially_unsupported_012,pt_br_portugues_partially_unsupported_012_c1,A lingua portuguesa e o idioma oficial do Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_portugues_partially_unsupported_012,pt_br_portugues_partially_unsupported_012_c2,A lingua portuguesa nao possui vogais,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_republica_abstain_needed_014,pt_br_republica_abstain_needed_014_c1,A Republica brasileira possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_republica_contradicted_014,pt_br_republica_contradicted_014_c1,A Republica brasileira foi proclamada em 1960,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_republica_fully_supported_014,pt_br_republica_fully_supported_014_c1,A Republica brasileira foi proclamada em 1889,supported,supported,supported,,supported,human_agreement,
pt_br_republica_partially_unsupported_014,pt_br_republica_partially_unsupported_014_c1,A Republica brasileira foi proclamada em 1889,supported,supported,supported,,supported,human_agreement,
pt_br_republica_partially_unsupported_014,pt_br_republica_partially_unsupported_014_c2,A Republica brasileira manteve Pedro II como presidente,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_rio_abstain_needed_008,pt_br_rio_abstain_needed_008_c1,A cidade do Rio de Janeiro possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_rio_contradicted_008,pt_br_rio_contradicted_008_c1,A cidade do Rio de Janeiro nunca foi capital do Brasil,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_rio_fully_supported_008,pt_br_rio_fully_supported_008_c1,A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia,supported,supported,supported,,supported,human_agreement,
pt_br_rio_partially_unsupported_008,pt_br_rio_partially_unsupported_008_c1,A cidade do Rio de Janeiro foi capital do Brasil antes de Brasilia,supported,supported,supported,,supported,human_agreement,
pt_br_rio_partially_unsupported_008,pt_br_rio_partially_unsupported_008_c2,A cidade do Rio de Janeiro foi fundada por franceses em 1999,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_samba_abstain_needed_017,pt_br_samba_abstain_needed_017_c1,O samba possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_samba_contradicted_017,pt_br_samba_contradicted_017_c1,O samba e uma moeda oficial europeia,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_samba_fully_supported_017,pt_br_samba_fully_supported_017_c1,O samba e uma expressao cultural associada ao Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_samba_partially_unsupported_017,pt_br_samba_partially_unsupported_017_c1,O samba e uma expressao cultural associada ao Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_samba_partially_unsupported_017,pt_br_samba_partially_unsupported_017_c2,O samba surgiu como algoritmo militar,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_santos_dumont_abstain_needed_009,pt_br_santos_dumont_abstain_needed_009_c1,Santos Dumont possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_santos_dumont_contradicted_009,pt_br_santos_dumont_contradicted_009_c1,Santos Dumont foi imperador do Brasil,contradicted,unsupported,contradicted,unsupported,unsupported,human_adjudication,
pt_br_santos_dumont_fully_supported_009,pt_br_santos_dumont_fully_supported_009_c1,Santos Dumont e associado a historia da aviacao brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_santos_dumont_partially_unsupported_009,pt_br_santos_dumont_partially_unsupported_009_c1,Santos Dumont e associado a historia da aviacao brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_santos_dumont_partially_unsupported_009,pt_br_santos_dumont_partially_unsupported_009_c2,Santos Dumont inventou a internet,unsupported,unsupported,contradicted,unsupported,unsupported,human_adjudication,
pt_br_tse_abstain_needed_018,pt_br_tse_abstain_needed_018_c1,O Tribunal Superior Eleitoral possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_tse_contradicted_018,pt_br_tse_contradicted_018_c1,O Tribunal Superior Eleitoral administra aeroportos,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_tse_fully_supported_018,pt_br_tse_fully_supported_018_c1,O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_tse_partially_unsupported_018,pt_br_tse_partially_unsupported_018_c1,O Tribunal Superior Eleitoral organiza processos eleitorais no Brasil,supported,supported,supported,,supported,human_agreement,
pt_br_tse_partially_unsupported_018,pt_br_tse_partially_unsupported_018_c2,O Tribunal Superior Eleitoral e uma escola de medicina,unsupported,unsupported,contradicted,contradicted,contradicted,human_adjudication,
pt_br_usp_abstain_needed_019,pt_br_usp_abstain_needed_019_c1,A Universidade de Sao Paulo possui um detalhe ausente confirmado pelo contexto,unsupported,unsupported,unsupported,,unsupported,human_agreement,
pt_br_usp_contradicted_019,pt_br_usp_contradicted_019_c1,A Universidade de Sao Paulo e uma cadeia de montanhas,contradicted,contradicted,contradicted,,contradicted,human_agreement,
pt_br_usp_fully_supported_019,pt_br_usp_fully_supported_019_c1,A Universidade de Sao Paulo e uma universidade publica brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_usp_partially_unsupported_019,pt_br_usp_partially_unsupported_019_c1,A Universidade de Sao Paulo e uma universidade publica brasileira,supported,supported,supported,,supported,human_agreement,
pt_br_usp_partially_unsupported_019,pt_br_usp_partially_unsupported_019_c2,A Universidade de Sao Paulo foi fundada no seculo XV,unsupported,unsupported,unsupported,,unsupported,human_agreement,
